,Clean,FGSM,PGD-20,PGD-100,SAP,ACC_robust
Clean (Layer 1),93.43139046226932,76.91394116572263,15.005481454412571,10.286862780924539,84.78896400511603,0.6608938296326015
Standard AT,96.0396491869176,92.95633107984652,92.08386625251234,92.00621231500091,93.85163530056641,0.9436752370507613
NSR (β=0.4),97.26840855106889,82.80650465923625,80.95194591631646,81.01589621779645,82.08021194957063,0.8915242951903453
AT+NSR,95.27681344783483,92.522382605518,91.53115293257811,91.49917778183811,93.39941531152932,0.937451107135747
